"final_taxonomy","18QY0182","18QY0183","18QY0184","18QY0185","18QY0186","18QY0187","18QY0188","18QY0189","18QY0190","18QY0191","18QY0192","18QY0193","18QY0194","18QY0195","18QY0196","18QY0197","18QY0198","18QY0199","18QY0200","18QY0201","18QY0202","18QY0203","18QY0204","18QY0205","18QY0206","18QY0207","18QY0208","18QY0209","18QY0210","18QY0211","18QY0212","18QY0213","18QY0214","18QY0215","18QY0216","18QY0238","18QY0239","18QY0240","18QY0241","18QY0242","18QY0243","18QY0244","18QY0245","18QY0246","18QY0246-2","18QY0247","18QY0248","18QY0249","18QY0250","18QY0251","18QY0252","18QY0253","18QY0254","18QY0255","18QY0256","18QY0257","18QY0258","18QY0259","18QY0260","18QY0261","18QY0262","18QY0263","18QY0264","18QY0265","18QY0266","18QY0267","18QY0268","18QY0269","18QY0270","18QY0271","18QY0272","18QY0273","18QY0274","18QY0275","18QY0276","18QY0277","18QY0278","18QY0279","18QY0280","18QY0281","18QY0282","18QY0283","18QY0284","18QY0285","18QY0286","18QY0287","18QY0288","18QY0289","18QY0290","18QY0291","18QY0292","18QY0293","18QY0294_1","18QY0294_2","18QY0294_3","18QY0295","18QY0296","18QY0297","18QY0298","18QY0299","18QY0300","18QY0301","18QY0302","18QY0303","18QY0304","18QY0305","18QY0306","18QY0307","18QY0308","18QY0309","18QY0310","18QY0311","18QY0312","18QY0313","18QY0314","18QY0315","18QY0316","18QY0317","18QY0318","18QY0319","18QY0320","18QY0321","18QY0322","18QY0323","18QY0324","18QY0325","18QY0326","18QY0327","18QY0328","18QY0329","18QY0330","18QY0331","18QY0332","18QY0333","18QY0334","18QY0335","18QY0336","18QY0337","18QY0338","18QY0339","18QY0340","18QY0341","18QY0342","18QY0343","18QY0344","18QY0345","18QY0346","18QY0347","18QY0348","18QY0349","18QY0350","18QY0351","18QY0352","18QY0353","18QY0354","18QY0355","18QY0356","18QY0357","18QY0358","18QY0359","18QY0360","18QY0361","18QY0362","18QY0363","18QY0364","18QY0365","18QY0366","18QY0367","18QY0368","18QY0369","18QY0370","18QY0371","18QY0372","18QY0373","18QY0374","18QY0375","18QY0376","18QY0377","18QY0378","18QY0379","18QY0380","18QY0381","18QY0382","18QY0383","18QY0384","18QY0385","18QY0386","18QY0387_1","18QY0387_2","18QY0387_3","Kang_HS_05","Kang_HS_06","Kang_SPID-0185","Kang_SPID-0186","PV18_554_A","PV18_580_A","PV18_581_A","PV18_582_A","PV18_583_A","PV18_584_A","PV18_588_A","PV18_590_A","PV18_595_A","PV18_597_A","PV18_600_A","PV18_602_A","PV18_607_A","PV18_608_A","PV18_609_A","PV18_611_A","PV18_614_A","PV18_616A","Pv18_551_A","Pv18_552_A","Pv18_553_A","Pv18_555_A","Pv18_556_A","Pv18_557_A","Pv18_558_A","Pv18_559_A","Pv18_560_A","Pv18_561_A","Pv18_562_A","Pv18_563_A","Pv18_564_A","Pv18_575_A","Pv18_576_A","Pv18_577_A","Pv18_578_A","Pv18_579_A","Pv18_617_A","Pv18_618_A","Pv18_619_A","Pv18_620_A","Pv18_621_A","Pv18_622_A","Pv18_623_A","Pv18_624_A","Pv18_625_A","Pv18_626_A","Pv18_627_A","Pv18_628_A","Pv18_629_A","Pv18_630_A","Pv18_631_A","Pv18_632_A","Pv18_633_A","Pv18_634_A","Pv18_635_A","Pv18_636_A","Pv18_637_A","Pv18_638_A","Pv18_639_A","Pv18_642_A","Pv18_643_A","Pv18_644_A","Pv18_645_A","Pv18_646_A","Pv18_648_A","Pv18_649_A","Pv18_650_A","Pv18_651_A","Pv18_652_A","Pv18_653_A","Pv18_654_A","Pv18_655_A","Pv18_656_A","Pv18_657_A","Pv18_658_A","Pv18_659_A","Pv18_660_A","Pv18_661_A","Pv18_662_A","Pv18_663_A","Pv18_664_A","Pv18_665_A","Pv18_666_A","Pv18_667_A","Pv18_668A","Pv18_669_A","Pv18_670_A","Pv18_671_A","Pv18_672_A","Pv18_673_A","Pv18_674_A_1","Pv18_674_A_2","Pv18_674_A_3","Pv18_678_A","Pv18_679_A","Pv18_680_A","Pv18_681_A","Pv18_682_A","Pv18_683_A","Pv18_684_A","Pv18_685_A","Pv18_686_A","Pv18_688_A","Pv18_689_A","Pv18_690_A","Pv18_691_A","Pv18_692_A","Pv18_693_A","Pv18_694_A","Pv18_695_A","Pv18_696_A","Pv18_697_A","Pv18_698_A","Pv18_699_A","Pv18_700_A","Pv18_701_A","Pv18_702_A","Pv18_703_A","Pv18_704_A","Pv18_705_A","Pv18_706_A","Pv18_707_A","Pv18_708_A","Pv18_709_A","Pv18_710_A","Pv18_711_A","Pv18_712_A","Pv18_713_A","Pv18_714_A","Pv18_715_A","Pv18_716_A","Pv18_717_A","Pv18_718_A","Pv18_719_A","Pv18_720_A","Pv18_721_A","Pv18_722_A","Pv18_723_A","Pv18_724_A","Pv18_725_A","Pv18_726_A","Pv18_727_A","Pv18_728_A","Pv18_729_A","Pv18_730_A","Pv18_731_A","Pv18_732_A","Pv18_733_A","Pv18_734_A","Pv18_735_A","Pv18_736_A","Pv18_737_A","Pv18_738_A","Pv18_739_A","Pv18_740_A","Pv18_741_A","Pv18_742_A","Pv18_743_A","Pv18_744_A","Pv18_745_A","Pv18_746_A","Pv18_747_A","Pv18_748_A","Pv18_749_A","Pv18_750_A","Pv18_751_A","Pv18_752_A","Pv18_753_A","Pv18_754_A","Pv18_755_A","Pv18_756_A","Pv18_757_A","Pv18_758_A","Pv18_759_A","Pv18_760_A","Pv18_761_A","Pv18_762_A","Pv18_763_A","Pv18_764_A","Pv18_765_A","Pv18_766_A","Pv18_767_A_1","Pv18_767_A_2","Pv18_767_A_3"
"Eukaryota;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Kurtia;Kurtia argillacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,262,0,0,28,0,0,38,15,0,95,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Microbotryomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula mucilaginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Tremellomycetes",0,0,0,0,0,0,63,0,0,0,0,17,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,7,0,0,30,0,0,0,0,0,222,0,149,0,0,113,0,74,0,0,0,0,0,0,0,0,0,134,0,278,0,0,0,0,0,105,0,0,0,0,13,0,0,38,0,0,38,0,20,0,0,0,0,0,0,17,0,0,0,0,0,0,0,29,0,0,0,0,0,0,147,65,0,0,0,57,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,8,0,11,11182,0,0,0,122,0,0,0,0,0,11,0,0,203,0,0,0,52,8,0,0,199,0,36,41,0,0,0,0,0,0,0,0,34,37,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,94,0,75,0,0,0,0,5,0,0,10,0,51,0,56,0,0,0,21,349,0,0,0,0,0,0,0,578,0,74,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,68,0,0,0,0,0,27,0,0,0,69,0,0,66,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,133,0,810,22,0,0,0,0,0,0,0,0,0,0,155,0,0,0,46,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,38,0,125,52,0,176,46,0,0,0,0,0,0,3,0,0,0,0,0,94,0,0,0,0,0,0,0,0,186,0,0,16,37,0,0,0,0,0
"Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium chernovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,125,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0
"Eukaryota;Chlorophyta",24,0,0,61,89,0,0,23,54,12,0,0,15,5,16,0,0,193,0,3,0,25,0,0,0,8,0,0,0,0,0,0,0,8,0,479,78,34,0,0,55,0,0,18,26,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,56,0,8,0,0,0,5,29,230,16,66,0,0,0,14,34,472,31,0,0,5,0,0,10,7,35,49,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0,173,0,0,79,28,0,0,14,0,20,0,0,0,0,0,119,0,0,0,0,0,0,28,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,6,0,6,50,0,0,12,0,0,0,0,0,0,13,140,0,0,0,373,116,17,0,0,0,8,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,850,0,0,666,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,63,0,0,0,0,32,0,0,6,0,0,0,0,0,0,0,0,0,0,66,6,0,0,0,91,31,0,154,0,0,0,46,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,95
"Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;Scenedesmus sp. SK-2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
